district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Del Norte County Unified,Bess Maxwell Elementary,1124 El Dorado Street Crescent City CA 95531-2111,NA,NA,NA,not tested,Crescent City,Del Norte County,41.76666,-124.209084
Del Norte County Office of Education,Castle Rock,1260 Glenn Street Crescent City CA 95531-2113,NA,NA,NA,not tested,Crescent City,Del Norte County,41.767817,-124.211262
Del Norte County Unified,Crescent Elk Middle,994 G Street Crescent City CA 95531-3417,NA,NA,NA,not tested,Crescent City,Del Norte County,41.756216,-124.203199
Del Norte County Office of Education,Del Norte Community,400 West Harding Street Crescent City CA 95531-2137,NA,NA,NA,not tested,Crescent City,Del Norte County,41.767803,-124.207764
Del Norte County Unified,Del Norte High,1301 El Dorado Street Crescent City CA 95531-2110,NA,NA,NA,not tested,Crescent City,Del Norte County,41.768486,-124.20939
Del Norte County Office of Education,Elk Creek,1115 Williams Drive Crescent City CA 95531,NA,NA,NA,not tested,Crescent City,Del Norte County,41.764924,-124.191844
Del Norte County Unified,Joe Hamilton Elementary,1050 E Street Crescent City CA 95531-3423,NA,NA,NA,not tested,Crescent City,Del Norte County,41.755888,-124.205547
Del Norte County Unified,Mary Peacock Elementary,1720 Arlington Crescent City CA 95331-8331,NA,NA,NA,not tested,Crescent City,Del Norte County,41.777035,-124.211085
Del Norte County Unified,Pine Grove Elementary,900 Pine Grove Road Crescent City CA 95531-8948,NA,NA,NA,not tested,Crescent City,Del Norte County,41.784624,-124.194408
Del Norte County Unified,Sunset High,2500 Elk Valley Cross Road Crescent City CA 95531-8461,NA,NA,NA,not tested,Crescent City,Del Norte County,41.809211,-124.153806
Del Norte County Office of Education,Uncharted Shores Academy,330 E Street Crescent City CA 95531-8330,NA,NA,NA,not tested,Crescent City,Del Norte County,41.750963,-124.200875
