district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude
Pomona Unified,Armstrong Elementary,22750 Beaverhead Drive Diamond Bar CA 91765-1566,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,34.021402,-117.818467
Walnut Valley Unified,Castle Rock Elementary,2975 Castle Rock Road Diamond Bar CA 91765-3420,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,33.972052,-117.844052
Walnut Valley Unified,Chaparral Middle,1408 South Spruce Tree Drive Diamond Bar CA 91765-2571,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,33.996586,-117.816904
Walnut Valley Unified,Diamond Bar High,21400 Pathfinder Road Diamond Bar CA 91765-2747,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,33.981287,-117.838918
Pomona Unified,Diamond Point Elementary,24150 Sunset Crossing Road Diamond Bar CA 91765-1454,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,34.033054,-117.797028
Pomona Unified,Golden Springs Elementary,245 South Ballena Drive Diamond Bar CA 91765-1758,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,34.024664,-117.801441
Pomona Unified,Lorbeer Middle,501 Diamond Bar Boulevard Diamond Bar CA 91765-2002,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,33.98688,-117.824332
Walnut Valley Unified,Maple Hill Elementary,1350 Maple Hill Road Diamond Bar CA 91765-2436,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,33.996775,-117.824794
Pomona Unified,Pantera Elementary,801 Pantera Drive Diamond Bar CA 91765-4637,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,34.010807,-117.790964
Walnut Valley Unified,Quail Summit Elementary,23330 East Quail Summit Drive Diamond Bar CA 91765-3031,NA,NA,NA,not tested,Diamond Bar,Los Angeles County,33.995744,-117.811082
